Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
A Clockwork Orange,185,A Clockwork Orange,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",1971-12-19,137,2200000,26589000,"['Science Fiction', 'Drama']","['Warner Bros. Pictures', 'Hawk Films']","['United Kingdom', 'United States of America']",['English'],"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",8.2,11567
2001: A Space Odyssey,62,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968-04-02,149,12000000,71923560,"['Science Fiction', 'Mystery', 'Adventure']","['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer']","['United Kingdom', 'United States of America']","['English', 'Pусский']",The Ultimate Trip.,8.085,10180
Star Wars: Episode VI - Return of the Jedi,1892,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",1983-05-25,135,32350000,572700000,"['Adventure', 'Action', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],The Empire Falls...,7.889,14161
Metropolis,19,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",1927-02-06,149,1300000,650422,"['Drama', 'Science Fiction']",['UFA'],['Germany'],['No Language'],There can be no understanding between the hands and the brain unless the heart acts as mediator.,8.153,2311
Spider-Man: No Way Home,634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,148,200000000,1921847111,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",['United States of America'],"['English', '']",The Multiverse unleashed.,8.0,17285
Jurassic Park,329,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",1993-06-11,127,63000000,920100000,"['Adventure', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['English', 'Español']",An adventure 65 million years in the making.,7.935,14668
The Thing,1091,The Thing,"A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey.",1982-06-25,109,15000000,19629760,"['Horror', 'Mystery', 'Science Fiction']","['Universal Pictures', 'Turman-Foster Company', 'Province of BC, Ministry of Tourism, Film Promotion Office']","['Canada', 'United States of America']","['English', 'Norsk']",Man is The Warmest Place to Hide.,8.038,5964
V for Vendetta,752,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",2006-02-23,132,54000000,132511035,"['Action', 'Thriller', 'Science Fiction']","['Studio Babelsberg', 'Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Fünfte Babelsberg Film', 'Warner Bros. Pictures', 'DC Comics', 'Medienboard Berlin-Brandenburg']","['Germany', 'United Kingdom', 'United States of America']",['English'],People should not be afraid of their governments. Governments should be afraid of their people.,7.898,13191
Mad Max: Fury Road,76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015-05-13,121,150000000,378858340,"['Action', 'Adventure', 'Science Fiction']","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac Entertainment', 'Village Roadshow Pictures']","['Australia', 'United States of America', 'South Africa']",['English'],What a Lovely Day.,7.574,20486
Blade Runner,78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",1982-06-25,118,28000000,41722424,"['Science Fiction', 'Drama', 'Thriller']","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']","['United States of America', 'Hong Kong', 'United Kingdom']","['English', 'Deutsch', '广州话 / 廣州話', '日本語', 'Magyar']",Man has made his match... now it's his problem.,7.934,12368
The Terminator,218,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",1984-10-26,108,6400000,78371200,"['Action', 'Thriller', 'Science Fiction']","['Orion Pictures', 'Pacific Western', 'Hemdale Film', 'Cinema 84', 'Euro Film Funding']","['United Kingdom', 'United States of America']",['English'],Your future is in its hands.,7.639,11419
Logan,263115,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2017-02-28,137,97000000,619021436,"['Action', 'Drama', 'Science Fiction']","['Hutch Parker Entertainment', ""The Donners' Company"", 'Genre Films', '20th Century Fox']",['United States of America'],"['English', 'Español']",His time has come.,7.814,17714
Stalker,1004130,Stalker,"Rose Hepburn, a young actor working in horror movies, returns to her empty hotel. Forced to use the old freight elevator, it jolts to a halt on the twelfth floor, leaving her trapped with an unusual stranger. Left with no mobile phone signal as a storm approaches, tensions escalate and suspicions rise when Rose discovers the identity of the mysterious man is Daniel Reed, a camera operator on her latest movie, who is seemingly obsessed with her. As the elevator hangs precariously high about to plunge down at any minute, some harsh truths and actions start unfolding.",2023-03-31,93,0,0,"['Horror', 'Thriller']",[],[],['English'],Who is the hunter?,4.25,4
The Iron Giant,10386,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",1999-08-06,86,70000000,23159305,"['Family', 'Animation', 'Science Fiction', 'Drama']","['Warner Bros. Pictures', 'Warner Bros. Animation']",['United States of America'],['English'],It came from outer space!,7.922,4919
PK,297222,PK,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.",2014-12-18,153,13000000,120000000,"['Comedy', 'Drama', 'Science Fiction']","['Rajkumar Hirani Films', 'Vinod Chopra Films', 'UTV Motion Pictures']",['India'],['हिन्दी'],Peeke hai kya?,7.704,842
Everything Everywhere All at Once,545611,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022-03-24,140,25000000,139200000,"['Action', 'Adventure', 'Science Fiction']","['AGBO', 'Ley Line Entertainment', 'Year of the Rat Productions', 'Hotdog Hands LLC', 'A24', 'IAC Films']",['United States of America'],"['广州话 / 廣州話', '普通话', 'English']",The universe is so much bigger than you realize.,7.849,4565
Dune: Part One,438631,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,155,165000000,402027830,"['Science Fiction', 'Adventure']",['Legendary Pictures'],['United States of America'],"['普通话', 'English']",It begins.,7.801,8784
Blade Runner 2049,335984,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017-10-04,164,150000000,259239658,"['Science Fiction', 'Drama']","['Torridon Films', '16:14 Entertainment', 'Scott Free Productions', 'Columbia Pictures', 'Alcon Entertainment', 'Thunderbird Entertainment', 'Warner Bros. Pictures']","['Canada', 'Hungary', 'Mexico', 'Spain', 'United Kingdom', 'United States of America']","['English', 'suomi', 'Magyar', '日本語', 'Pусский', 'Somali', 'Español']",The key to the future is finally unearthed.,7.5,11799
Guardians of the Galaxy,447365,Guardians of the Galaxy Volume 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,150,250000000,35000000,"['Science Fiction', 'Adventure', 'Action']","['Marvel Studios', 'Kevin Feige Productions']",['United States of America'],['English'],Once more with feeling.,8.461,331
Zack Snyder's Justice League,791373,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021-03-18,242,70000000,0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Warner Bros. Pictures', 'The Stone Quarry', 'Atlas Entertainment', 'Access Entertainment', 'Dune Entertainment', 'DC Films']",['United States of America'],['English'],,8.212,8811
Her,152601,Her,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",2013-12-18,126,23000000,47351251,"['Romance', 'Science Fiction', 'Drama']","['Annapurna Pictures', 'Warner Bros. Pictures', 'Ascot Elite - Ascot Life!']",['United States of America'],['English'],A Spike Jonze Love Story,7.9,13068
The Avengers,24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,143,220000000,1518815515,"['Science Fiction', 'Action', 'Adventure']",['Marvel Studios'],['United States of America'],"['English', 'हिन्दी', 'Pусский']",Some assembly required.,7.7,28537
Donnie Darko,141,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",2001-10-24,114,6000000,7500000,"['Fantasy', 'Drama', 'Mystery']","['Flower Films', 'Gaylord Films', 'Adam Fields Productions', 'Pandora Cinema']",['United States of America'],['English'],"28 days, 6 hours, 42 minutes, 12 seconds... that is when the world will end.",7.783,11181
The Martian,286217,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",2015-09-30,141,108000000,630161890,"['Drama', 'Adventure', 'Science Fiction']","['Scott Free Productions', 'Genre Films']","['United Kingdom', 'United States of America']","['English', '普通话']",Bring Him Home,7.673,18091
Twelve Monkeys,63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,129,29000000,168841459,"['Science Fiction', 'Thriller', 'Mystery']","['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],"['English', 'Français']",The future is history.,7.596,7442
Planet of the Apes,869,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",2001-07-25,119,100000000,362211740,"['Thriller', 'Science Fiction', 'Action', 'Adventure']","['Tim Burton Productions', '20th Century Fox', 'The Zanuck Company']",['United States of America'],['English'],You'll be sorry you were ever born human.,5.728,3549
Akira,149,Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,1988-07-16,124,10000000,553171,"['Animation', 'Science Fiction', 'Action']","['MBS', 'Sumitomo Corporation', 'TOHO', 'Studio Fuga', 'Studio Aoi', 'Kodansha', 'Bandai Entertainment', 'Tokyo Movie Shinsha']",['Japan'],['日本語'],Neo-Tokyo is about to E.X.P.L.O.D.E.,7.95,3524
Kaze no tani no Naushika,81,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",1984-03-11,117,1000000,3301446,"['Adventure', 'Animation', 'Fantasy']",['Topcraft'],['Japan'],['日本語'],A young girl's love called forth miracles…,7.932,3034
Solaris,2103,Solaris,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.,2002-11-27,99,47000000,30002758,"['Drama', 'Science Fiction', 'Mystery']","['Lightstorm Entertainment', '20th Century Fox']",['United States of America'],['English'],How far will you go for a second chance?,5.903,1131
G.O.R.A.,27275,G.O.R.A.,"Carpet dealer and UFO photo forger Arif is abducted by aliens and must outwit the evil commander-in-chief of G.O.R.A., the planet where he is being held.",2004-11-12,127,0,0,"['Adventure', 'Comedy', 'Science Fiction']","['Böcek Film', 'Böcek Yapım', 'BKM']",['Turkey'],['Türkçe'],,7.3,277
Avatar,19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-15,162,237000000,2923706026,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']","['United States of America', 'United Kingdom']","['English', 'Español']",Enter the world of Pandora.,7.569,29028
Edge of Tomorrow,137113,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",2014-05-27,114,178000000,370541256,"['Action', 'Science Fiction']","['RatPac Entertainment', 'Village Roadshow Pictures', 'VIZ Media', '3 Arts Entertainment', 'Warner Bros. Pictures']",['United States of America'],['English'],Live. Die. Repeat.,7.6,12459
Arrival,329865,Arrival,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",2016-11-10,116,47000000,203388186,"['Drama', 'Science Fiction', 'Mystery']","['FilmNation Entertainment', 'Lava Bear Films', 'Reliance Entertainment', 'Xenolinguistics', '21 Laps Entertainment', 'Paramount']","['Canada', 'United States of America']","['普通话', 'English', 'Pусский']",Why are they here?,7.58,16115
Iron Man,1726,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008-04-30,126,140000000,585174222,"['Action', 'Science Fiction', 'Adventure']",['Marvel Studios'],['United States of America'],"['English', 'فارسی', 'اردو', 'العربية']",Heroes aren't born. They're built.,7.6,24282
Thor: Ragnarok,284053,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",2017-10-24,131,180000000,855301806,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Comedy']",['Marvel Studios'],['United States of America'],['English'],No Hammer. No Problem.,7.599,19033
Star Trek,13475,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",2009-05-06,127,150000000,385680446,"['Science Fiction', 'Action', 'Adventure']","['Paramount', 'Spyglass Entertainment', 'Bad Robot', 'MavroCine Pictures GmbH & Co. KG']","['Germany', 'United States of America']",['English'],The future begins.,7.431,9108
E.T. the Extra-Terrestrial,601,E.T. the Extra-Terrestrial,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",1982-06-11,115,10500000,792965500,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],['English'],He is afraid. He is alone. He is three million light years from home.,7.507,10175
Children of Men,9693,Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",2006-09-22,109,76000000,70595464,"['Drama', 'Action', 'Thriller', 'Science Fiction']","['Universal Pictures', 'Strike Entertainment', 'Hit & Run Productions']","['United Kingdom', 'United States of America']",['English'],The future's a thing of the past.,7.603,6290
District 9,17654,District 9,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",2009-08-05,112,30000000,210819611,['Science Fiction'],"['TriStar Pictures', 'Block / Hanson', 'WingNut Films', 'District 9']","['New Zealand', 'South Africa', 'United States of America']","['Afrikaans', '', '', '', 'isiZulu', 'English']",You are not welcome here.,7.414,8473
X-Men: Days of Future Past,127585,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,2014-05-15,132,250000000,747862775,"['Action', 'Adventure', 'Science Fiction']","['Bad Hat Harry Productions', ""The Donners' Company"", 'Simon Kinberg Productions', '20th Century Fox']",['United States of America'],"['English', 'Français', 'Pусский', 'Tiếng Việt']","To save the future, they must alter the past.",7.522,14113
Brazil,68,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",1985-02-20,143,15000000,9900000,"['Comedy', 'Science Fiction']",['Embassy International Pictures'],"['United Kingdom', 'United States of America']",['English'],It's only a state of mind.,7.683,2915
The Man from Earth,13363,The Man from Earth,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",2007-06-10,87,200000,0,"['Science Fiction', 'Drama']",['Falling Sky Entertainment'],['United States of America'],['English'],From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,7.63,2048
King Kong,254,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2005-12-12,187,207000000,562363449,"['Adventure', 'Drama', 'Action']","['Universal Pictures', 'WingNut Films', 'Big Primate Pictures', 'MFPV Film']","['New Zealand', 'United States of America', 'Germany']",['English'],The eighth wonder of the world.,6.858,7095
Avatar: The Way of Water,76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022-12-14,192,460000000,2319331580,"['Science Fiction', 'Adventure', 'Action']","['20th Century Studios', 'Lightstorm Entertainment']",['United States of America'],['English'],Return to Pandora.,7.712,7784
About Time,122906,About Time,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",2013-09-04,123,12000000,87100449,"['Drama', 'Romance', 'Fantasy']","['Working Title Films', 'Translux', 'Universal Pictures', 'Relativity Media']",['United Kingdom'],['English'],What if every moment in life came with a second chance?,7.909,7533
Rogue One,330459,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,2016-12-14,133,200000000,1056057273,"['Action', 'Adventure', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],A Rebellion Built on Hope,7.487,14006
Ghostbusters,43074,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016-07-14,117,144000000,229147509,"['Action', 'Fantasy', 'Comedy']","['Ghost Corps', 'Columbia Pictures', 'Village Roadshow Pictures', 'LStar Capital', 'Feigco Entertainment', 'Pascal Pictures', 'The Montecito Picture Company']",['United States of America'],['English'],Who You Gonna Call?,5.37,5829
Captain America: Civil War,271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",2016-04-27,147,250000000,1153337496,"['Adventure', 'Action', 'Science Fiction']",['Marvel Studios'],['United States of America'],"['Română', 'English', 'Deutsch', 'Pусский']",United we stand. Divided we fall.,7.4,21056
Star Wars: Episode VII - The Force Awakens,140607,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",2015-12-15,136,245000000,2068223624,"['Adventure', 'Action', 'Science Fiction', 'Fantasy']","['Lucasfilm Ltd.', 'Bad Robot']",['United States of America'],['English'],Every generation has a story.,7.3,17973
Predator,106,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,1987-06-12,107,15000000,98267558,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Silver Pictures', '20th Century Fox', 'Lawrence Gordon Productions', 'Davis Entertainment', 'Amercent Films', 'American Entertainment Partners L.P.', 'Estudios Churubusco Azteca S.A.']",['United States of America'],"['English', 'Español']",Soon the hunt will begin.,7.491,6952
Captain America: The Winter Soldier,100402,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",2014-03-20,136,170000000,714766572,"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],['United States of America'],['English'],In heroes we trust.,7.675,17258
Back to the Future Part II,165,Back to the Future Part II,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",1989-11-22,108,40000000,332000000,"['Adventure', 'Comedy', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],['English'],"Roads? Where we're going, we don't need roads!",7.752,11462
Mr. Nobody,31011,Mr. Nobody,"Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092.",2009-11-06,141,47000000,2331721,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']","['Pan Européenne Production', 'Virtual Films', 'Wild Bunch']","['Belgium', 'Canada', 'France', 'Germany']",['English'],"Nothing is real, everything is possible.",7.8,5408
Big Hero 6,177572,Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",2014-10-24,102,165000000,657827828,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],['English'],From the creators of Wreck-It Ralph and Frozen.,7.739,14402
Gattaca,782,Gattaca,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",1997-09-07,106,36000000,12532777,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']","['Jersey Films', 'Columbia Pictures']",['United States of America'],"['English', 'Esperanto']",There is no gene for the human spirit.,7.55,5583
Moon,17431,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",2009-06-12,97,5000000,9760104,"['Science Fiction', 'Drama']","['Lunar Industries', 'Liberty Films', 'Xingu Films', 'Limelight Fund']","['United Kingdom', 'United States of America']","['Español', 'English']",The last place you'd ever expect to find yourself.,7.573,5079
Serenity,16320,Serenity,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",2005-09-25,119,39000000,38869464,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Universal Pictures', 'Barry Mendel Productions']",['United States of America'],"['English', '普通话']",They aim to misbehave.,7.37,3105
Isle of Dogs,399174,Isle of Dogs,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",2018-03-23,101,62770198,64337744,"['Adventure', 'Comedy', 'Animation']","['Studio Babelsberg', 'American Empirical Pictures', 'Indian Paintbrush', 'Scott Rudin Productions']","['Germany', 'United States of America']","['English', '日本語']",Welcome to the Isle of Dogs.,7.862,4250
The Day the Earth Stood Still,10200,The Day the Earth Stood Still,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",2008-12-10,104,80000000,233093859,"['Drama', 'Science Fiction', 'Thriller']","['Dune Entertainment III', 'Earth Canada Productions', 'Hammerhead Productions', '3 Arts Entertainment', '20th Century Fox']","['Canada', 'United States of America']","['普通话', 'English']",12.12.08 is the Day the Earth Stood Still,5.588,3018
Frankenstein,3035,Frankenstein,"Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",1931-11-19,70,291000,12000000,"['Drama', 'Horror', 'Science Fiction']",['Universal Pictures'],['United States of America'],['English'],The man who made a monster,7.511,1321
